id_esp,componente_biologico,especie,subsp_var,sinonimo,genero,familia,orden,clase,phylum_division,reino,nombre_comun,nombre_ingles,habito_crecimiento,ds_004_2014_minagri,ds_043_2006_ag,uicn_2020_3,cites_2019,endemismo,migracion
3060,Mastofauna,Otaria flavescens,,,Otaria,Otariidae,Carnivora,Mammalia,Chordata,Animalia,Lobo chusco / cochapuma,"South American Sea Lion, Southern Sea Lion, South American Sealion",No aplica,VU,No aplica,LC,No incluida,No endemica,No aplica
3061,Mastofauna,Otariidae N.D.,,,Otariidae N.D.,Otariidae,Carnivora,Mammalia,Chordata,Animalia,,,No aplica,No categorizada,No aplica,No categorizada,No incluida,No endemica,No aplica
3062,Mastofauna,Ovis aries,,,Ovis,Bovidae,Cetartiodactyla,Mammalia,Chordata,Animalia,Oveja,Sheep,No aplica,No categorizada,No aplica,No categorizada,No incluida,No endemica,No aplica
3063,Mastofauna,Phocoena spinipinnis,,,Phocoena,Phoeconidae,Cetartiodactyla,Mammalia,Chordata,Animalia,Marsopa espinosa / chancho marino,Burmeister's Porpoise,No aplica,No categorizada,No aplica,NT,No incluida,No endemica,No aplica
3064,Mastofauna,Phyllotis amicus,,,Phyllotis,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,Raton orejon amigo,Friendly Leaf-eared Mouse,No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3065,Mastofauna,Phyllotis andium,,,Phyllotis,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,Raton orejon andino,Andean Leaf-eared Mouse,No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3066,Mastofauna,Phyllotis darwini,,,Phyllotis,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,Raton orejon de darwin,Darwin's Leaf-eared Mouse,No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3067,Mastofauna,Phyllotis limatus,,,Phyllotis,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,Raton orejon de Lima,Lima Leaf- eared Mouse,No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3068,Mastofauna,Phyllotis magister,,,Phyllotis,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,Raton orejon maestro,Master Leaf-eared Mouse,No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3069,Mastofauna,Phyllotis osilae,,,Phyllotis,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,Raton orejon de Asillo,Bunchgrass Leaf-eared Mouse,No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3070,Mastofauna,Phyllotis xanthopygus,,,Phyllotis,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,Raton orejon de ancas amarillentas,"Yellow-rumped Leaf-eared Mouse, Patagonian Leaf- eared Mouse",No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3071,Mastofauna,Physeter macrocephalus,,Physeter catodon,Physeter,Physeteridae,Cetartiodactyla,Mammalia,Chordata,Animalia,Cachalote,"Sperm Whale, Cachelot, Pot Whale, Spermacet Whale",No aplica,No categorizada,No aplica,VU,Apendice I,No endemica,No aplica
3072,Mastofauna,Platalina genovensium,,,Platalina,Phyllostomidae,Chiroptera,Mammalia,Chordata,Animalia,Murcielago longirostro peruano,"Long-snouted Bat, Peruvian Long-tongued Bat",No aplica,EN,No aplica,NT,No incluida,No endemica,No aplica
3073,Mastofauna,Promops davisoni,,,Promops,Molossidae,Chiroptera,Mammalia,Chordata,Animalia,Murcielago mastin con cresta de Davison,Davison's Crested Mastiff Bat,No aplica,No categorizada,No aplica,DD,No incluida,No endemica,No aplica
3074,Mastofauna,Puma concolor,,,Puma,Felidae,Carnivora,Mammalia,Chordata,Animalia,Puma / leon / lluichu-puma / kirajari / matsonsori,"Puma, Cougar, Deer Tiger, Mountain Lion, Red Tiger",No aplica,NT,No aplica,LC,Apendice II,No endemica,No aplica
3075,Mastofauna,Rattus rattus,,,Rattus,Muridae,Rodentia,Mammalia,Chordata,Animalia,Rata negra,Rat,No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3076,Mastofauna,Tadarida brasiliensis,,,Tadarida,Molossidae,Chiroptera,Mammalia,Chordata,Animalia,Murcielago mastin,"Brazilian Free-tailed Bat, Mexican Free-tailed Bat",No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3077,Mastofauna,Thylamys pallidior,,,Thylamys,Didelphidae,Didelphimorphia,Mammalia,Chordata,Animalia,Marmosa coligruesa de vientre blanco,"Pallid Fat-tailed Opossum, White-bellied Fat-tailed Mouse Opossum",No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
3078,Mastofauna,Tursiops truncatus,,,Tursiops,Delphinidae,Cetartiodactyla,Mammalia,Chordata,Animalia,Delfin pico de botella,"Common Bottlenose Dolphin, Bottle-nosed Dolphin, Bottlenose Dolphin, Bottlenosed Dolphin",No aplica,No categorizada,No aplica,LC,Apendice II,No endemica,No aplica
3079,Mastofauna,Vicugna vicugna,,,Vicugna,Camelidae,Cetartiodactyla,Mammalia,Chordata,Animalia,Vicuna / uik'una,"Vicugna, Vicuna, Vicuna",No aplica,NT,No aplica,LC,Apendice II,No endemica,No aplica
4356,Mastofauna,Eligmodontia cf. hirtipes,,,Eligmodontia,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,,,No aplica,No categorizada,No aplica,No categorizada,No incluida,No endemica,No aplica
4370,Mastofauna,Calomys sorellus,,,Calomys,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,Raton vespertino rojizo,Peruvian Vesper Mouse,No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
4394,Mastofauna,Cavia tschudii,,,Cavia,Caviidae,Rodentia,Mammalia,Chordata,Animalia,Cuy silvestre,Montane Guinea Pig,No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
4409,Mastofauna,Cricetidae N.D.,,,Cricetidae N.D.,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,,,No aplica,No categorizada,No aplica,No categorizada,No incluida,No endemica,No aplica
4446,Mastofauna,Lycalopex sp.,,,Lycalopex,Canidae,Carnivora,Mammalia,Chordata,Animalia,,,No aplica,No categorizada,No aplica,No categorizada,No incluida,No endemica,No aplica
4452,Mastofauna,Mustela frenata,,,Mustela,Mustelidae,Carnivora,Mammalia,Chordata,Animalia,Comadreja / tolompeo / achocalla,Long-tailed Weasel,No aplica,No categorizada,No aplica,LC,No incluida,No endemica,No aplica
4457,Mastofauna,Odocoileus virginianus,,,Odocoileus,Cervidae,Artiodactyla,Mammalia,Chordata,Animalia,Venado cola blanca,White-tailed Deer,No aplica,No categorizada,No aplica,LC,Apendice III,No endemica,No aplica
4467,Mastofauna,Phyllotis sp.,,,Phyllotis,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,,,No aplica,No categorizada,No aplica,No categorizada,No incluida,No endemica,No aplica
4478,Mastofauna,Rodentia N.D.,,,Rodentia N.D.,Rodentia N.D.,Rodentia,Mammalia,Chordata,Animalia,,,No aplica,No categorizada,No aplica,No categorizada,No incluida,No endemica,No aplica
4492,Mastofauna,Thylamys sp.,,,Thylamys,Didelphidae,Didelphimorphia,Mammalia,Chordata,Animalia,,,No aplica,No categorizada,No aplica,No categorizada,No incluida,No endemica,No aplica
4807,Mastofauna,Akodon sp.,,,Akodon,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,,,No aplica,No categorizada,No aplica,No categorizada,No incluida,No endemica,No aplica
4860,Mastofauna,Delphinus capensis,,,Delphinus,Delphinidae,Cetartiodactyla,Mammalia,Chordata,Animalia,Delfin comun de hocico largo,Common Dolphin,No aplica,No categorizada,No aplica,LC,Apendice II,No endemica,No aplica
4861,Mastofauna,Artyodactyla N.D.,,,,,,,,,,,No aplica,No categorizada,No aplica,No categorizada,No incluida,No endemica,No aplica
4901,Mastofauna,Canis lupus familiaris,,,Canis,Canidae,Carnivora,Mammalia,Chordata,Animalia,Perro domestico,Dog,No aplica,No categorizada,No aplica,No categorizada,No incluida,No endemica,No aplica
4911,Mastofauna,Delphinus delphis,,,Delphinus,Delphinidae,Cetartiodactyla,Mammalia,Chordata,Animalia,Delfin comun de hocico corto,Common Dolphin,No aplica,No categorizada,No aplica,LC,Apendice II,No endemica,No aplica
4912,Mastofauna,Phyllotis cf. xanthopygus,,,Phyllotis,Cricetidae,Rodentia,Mammalia,Chordata,Animalia,,,No aplica,No categorizada,No aplica,No categorizada,No incluida,No endemica,No aplica
5150,Mastofauna,Equus caballus,,,Equus,Equidae,Perissodactyla,Mammalia,Chordata,Animalia,Caballo,Hourse,No aplica,No categorizada,No aplica,No categorizada,No incluida,No endemica,No aplica
5154,Mastofauna,Felis catus,,,Felis,Felidae,Carnivora,Mammalia,Chordata,Animalia,Gato domestico,Cat,No aplica,No categorizada,No aplica,No categorizada,No incluida,No endemica,No aplica
5155,Mastofauna,Capra hircus,,,Capra,Bovidae,Cetartiodactyla,Mammalia,Chordata,Animalia,Cabra / chivo,Goat,No aplica,No categorizada,No aplica,No categorizada,No incluida,No endemica,No aplica
5156,Mastofauna,Vicugna pacos,,,Vicugna,Camelidae,Cetartiodactyla,Mammalia,Chordata,Animalia,Alpaca,Alpaca,No aplica,No categorizada,No aplica,No categorizada,No incluida,No endemica,No aplica
5157,Mastofauna,Lama glama,,,Lama,Camelidae,Cetartiodactyla,Mammalia,Chordata,Animalia,Llama,Llama,No aplica,No categorizada,No aplica,No categorizada,No incluida,No endemica,No aplica
5862,Mastofauna,Megaptera novaeangliae,,,Megaptera,Balaenopteridae,Artiodactyla,Mammalia,Chordata,Animalia,Ballena jorobada / yubarta,Humpback Whale,No aplica,No categorizada,No aplica,LC,Apendice I,No endemica,No aplica
